Sun Oct 02 13:02:27 IDT 2022 | ScreenShot taken!
Sun Oct 02 13:02:28 IDT 2022 | Sun Oct 02 13:01:58 IDT 2022test01_verifyAdditionCommandSCREENSHOT TAKEN : 
Sun Oct 02 13:02:28 IDT 2022 | Recorded Screen Cast File is Now Created
Sun Oct 02 13:02:29 IDT 2022 |  ---------------------- Starting Test: test02_verifySubtractionOperation  ------------------
Sun Oct 02 13:03:15 IDT 2022 | ---------------------- Test test02_verifySubtractionOperation Failed ------------------
Sun Oct 02 13:03:15 IDT 2022 | ScreenShot taken!
Sun Oct 02 13:03:28 IDT 2022 | Sun Oct 02 13:02:29 IDT 2022test02_verifySubtractionOperationSCREENSHOT TAKEN : 
Sun Oct 02 13:04:35 IDT 2022 | 
================================================================================================================
Sun Oct 02 13:04:35 IDT 2022 |  :------------------- Starting Execution ------------------
Sun Oct 02 13:04:43 IDT 2022 | Recorded Screen Cast File is Now Created
Sun Oct 02 13:04:44 IDT 2022 |  ---------------------- Starting Test: test01_verifyAdditionCommand  ------------------
Sun Oct 02 13:05:16 IDT 2022 | Display is 344
Sun Oct 02 13:05:32 IDT 2022 | ---------------------- Test test01_verifyAdditionCommand Failed ------------------
Sun Oct 02 13:05:32 IDT 2022 | ScreenShot taken!
Sun Oct 02 13:05:34 IDT 2022 | Sun Oct 02 13:04:44 IDT 2022test01_verifyAdditionCommandSCREENSHOT TAKEN : 
Sun Oct 02 13:05:35 IDT 2022 | Recorded Screen Cast File is Now Created
Sun Oct 02 13:05:35 IDT 2022 |  ---------------------- Starting Test: test02_verifySubtractionOperation  ------------------
Sun Oct 02 13:07:10 IDT 2022 | 
================================================================================================================
Sun Oct 02 13:07:10 IDT 2022 |  :------------------- Starting Execution ------------------
Sun Oct 02 13:07:21 IDT 2022 | Recorded Screen Cast File is Now Created
Sun Oct 02 13:07:21 IDT 2022 |  ---------------------- Starting Test: test01_verifyAdditionCommand  ------------------
Sun Oct 02 13:07:45 IDT 2022 | Display is 844
Sun Oct 02 13:07:51 IDT 2022 | ---------------------- Test test01_verifyAdditionCommand Failed ------------------
Sun Oct 02 13:07:51 IDT 2022 | ScreenShot taken!
Sun Oct 02 13:07:56 IDT 2022 | ---------------------- Test test01_verifyAdditionCommand Failed ------------------
Sun Oct 02 13:07:56 IDT 2022 | ScreenShot taken!
Sun Oct 02 13:08:03 IDT 2022 |  :---------------------- Ending Execution ------------------
Sun Oct 02 13:08:03 IDT 2022 | ================================================================================================================

Sun Oct 02 13:21:56 IDT 2022 | 
================================================================================================================
Sun Oct 02 13:21:56 IDT 2022 |  :------------------- Starting Execution ------------------
Sun Oct 02 13:22:05 IDT 2022 | Recorded Screen Cast File is Now Created
Sun Oct 02 13:22:06 IDT 2022 |  ---------------------- Starting Test: test01_verifyAdditionCommand  ------------------
Sun Oct 02 13:23:17 IDT 2022 | Display is 845
Sun Oct 02 13:23:23 IDT 2022 |  ----------  SUCCESS! ----------- Test: test01_verifyAdditionCommand Passed ------------------
Sun Oct 02 13:23:23 IDT 2022 | Recorded Screen Cast File Stop Recording
Sun Oct 02 13:23:23 IDT 2022 | File was deleted successfully
Sun Oct 02 13:23:23 IDT 2022 | Recorded Screen Cast File is Now Created
Sun Oct 02 13:23:23 IDT 2022 |  ---------------------- Starting Test: test02_verifySubtractionOperation  ------------------
Sun Oct 02 13:23:26 IDT 2022 | Not found
Sun Oct 02 13:23:32 IDT 2022 | Not found
Sun Oct 02 13:23:41 IDT 2022 | Display is 0
Sun Oct 02 13:23:48 IDT 2022 | ---------------------- Test test02_verifySubtractionOperation Failed ------------------
Sun Oct 02 13:23:48 IDT 2022 | ScreenShot taken!
Sun Oct 02 13:23:49 IDT 2022 | Sun Oct 02 13:23:23 IDT 2022test02_verifySubtractionOperationSCREENSHOT TAKEN : 
Sun Oct 02 13:23:51 IDT 2022 |  :---------------------- Ending Execution ------------------
Sun Oct 02 13:23:51 IDT 2022 | ================================================================================================================

Sun Oct 02 13:27:27 IDT 2022 | 
================================================================================================================
Sun Oct 02 13:27:27 IDT 2022 |  :------------------- Starting Execution ------------------
Sun Oct 02 13:27:36 IDT 2022 | Recorded Screen Cast File is Now Created
Sun Oct 02 13:27:37 IDT 2022 |  ---------------------- Starting Test: test01_verifyAdditionCommand  ------------------
Sun Oct 02 13:28:53 IDT 2022 | 
================================================================================================================
Sun Oct 02 13:28:53 IDT 2022 |  :------------------- Starting Execution ------------------
Sun Oct 02 13:29:01 IDT 2022 | Recorded Screen Cast File is Now Created
Sun Oct 02 13:29:01 IDT 2022 |  ---------------------- Starting Test: test01_verifyAdditionCommand  ------------------
Sun Oct 02 13:29:36 IDT 2022 | Display is 845
Sun Oct 02 13:29:41 IDT 2022 |  ----------  SUCCESS! ----------- Test: test01_verifyAdditionCommand Passed ------------------
Sun Oct 02 13:29:41 IDT 2022 | Recorded Screen Cast File Stop Recording
Sun Oct 02 13:29:41 IDT 2022 | File was deleted successfully
Sun Oct 02 13:29:41 IDT 2022 | Recorded Screen Cast File is Now Created
Sun Oct 02 13:29:41 IDT 2022 |  ---------------------- Starting Test: test02_verifySubtractionOperation  ------------------
Sun Oct 02 13:29:41 IDT 2022 | Number a is 8133
Sun Oct 02 13:29:41 IDT 2022 | Number b is 123
Sun Oct 02 13:30:19 IDT 2022 | Display is 8,010
Sun Oct 02 13:30:26 IDT 2022 |  ----------  SUCCESS! ----------- Test: test02_verifySubtractionOperation Passed ------------------
Sun Oct 02 13:30:26 IDT 2022 | Recorded Screen Cast File Stop Recording
Sun Oct 02 13:30:26 IDT 2022 | File was deleted successfully
Sun Oct 02 13:30:26 IDT 2022 |  :---------------------- Ending Execution ------------------
Sun Oct 02 13:30:26 IDT 2022 | ================================================================================================================

Sun Oct 02 13:31:28 IDT 2022 | 
================================================================================================================
Sun Oct 02 13:31:28 IDT 2022 |  :------------------- Starting Execution ------------------
Sun Oct 02 13:31:35 IDT 2022 | Recorded Screen Cast File is Now Created
Sun Oct 02 13:31:36 IDT 2022 |  ---------------------- Starting Test: test01_verifyAdditionCommand  ------------------
Sun Oct 02 13:34:44 IDT 2022 | 
================================================================================================================
Sun Oct 02 13:34:44 IDT 2022 |  :------------------- Starting Execution ------------------
Sun Oct 02 13:34:52 IDT 2022 | Recorded Screen Cast File is Now Created
Sun Oct 02 13:34:53 IDT 2022 |  ---------------------- Starting Test: test03_verifyMultiplicationOperation  ------------------
Sun Oct 02 13:34:53 IDT 2022 | Number a is 83
Sun Oct 02 13:34:53 IDT 2022 | Number b is 13
Sun Oct 02 13:35:22 IDT 2022 | Display is 1,079
Sun Oct 02 13:35:31 IDT 2022 |  ----------  SUCCESS! ----------- Test: test03_verifyMultiplicationOperation Passed ------------------
Sun Oct 02 13:35:31 IDT 2022 | Recorded Screen Cast File Stop Recording
Sun Oct 02 13:35:31 IDT 2022 | File was deleted successfully
Sun Oct 02 13:35:31 IDT 2022 |  :---------------------- Ending Execution ------------------
Sun Oct 02 13:35:31 IDT 2022 | ================================================================================================================

Sun Oct 02 13:38:23 IDT 2022 | 
================================================================================================================
Sun Oct 02 13:38:23 IDT 2022 |  :------------------- Starting Execution ------------------
Sun Oct 02 13:38:38 IDT 2022 | Recorded Screen Cast File is Now Created
Sun Oct 02 13:38:38 IDT 2022 |  ---------------------- Starting Test: test03_verifyMultiplicationOperation  ------------------
Sun Oct 02 13:38:39 IDT 2022 | Number a is 83
Sun Oct 02 13:38:39 IDT 2022 | Number b is 13
Sun Oct 02 13:39:20 IDT 2022 | Display is 1,079
Sun Oct 02 13:39:25 IDT 2022 |  ----------  SUCCESS! ----------- Test: test03_verifyMultiplicationOperation Passed ------------------
Sun Oct 02 13:39:25 IDT 2022 | Recorded Screen Cast File Stop Recording
Sun Oct 02 13:39:25 IDT 2022 | File was deleted successfully
Sun Oct 02 13:39:25 IDT 2022 | Recorded Screen Cast File is Now Created
Sun Oct 02 13:39:25 IDT 2022 |  ---------------------- Starting Test: test04_verifyDivisionOperation  ------------------
Sun Oct 02 13:39:25 IDT 2022 | Number a is 144
Sun Oct 02 13:39:25 IDT 2022 | Number b is 12
Sun Oct 02 13:40:04 IDT 2022 | Display is 12
Sun Oct 02 13:40:07 IDT 2022 |  ----------  SUCCESS! ----------- Test: test04_verifyDivisionOperation Passed ------------------
Sun Oct 02 13:40:07 IDT 2022 | Recorded Screen Cast File Stop Recording
Sun Oct 02 13:40:07 IDT 2022 | File was deleted successfully
Sun Oct 02 13:40:08 IDT 2022 |  :---------------------- Ending Execution ------------------
Sun Oct 02 13:40:08 IDT 2022 | ================================================================================================================

Sun Oct 02 13:48:37 IDT 2022 | 
================================================================================================================
Sun Oct 02 13:48:37 IDT 2022 |  :------------------- Starting Execution ------------------
Sun Oct 02 13:48:46 IDT 2022 | Recorded Screen Cast File is Now Created
Sun Oct 02 13:48:47 IDT 2022 |  ---------------------- Starting Test: test01_verifyAdditionCommand  ------------------
Sun Oct 02 13:48:59 IDT 2022 | ---------------------- Test test01_verifyAdditionCommand Failed ------------------
Sun Oct 02 13:48:59 IDT 2022 | ScreenShot taken!
Sun Oct 02 13:49:00 IDT 2022 | ---------------------- Test test01_verifyAdditionCommand Failed ------------------
Sun Oct 02 13:49:00 IDT 2022 | ScreenShot taken!
Sun Oct 02 13:49:00 IDT 2022 |  :---------------------- Ending Execution ------------------
Sun Oct 02 13:49:00 IDT 2022 | ================================================================================================================

